id_venta|id_producto|cantidad|total|fecha_venta|id_cliente|nombre_cliente|medio_pago|producto|categoria|precio|email|ciudad|fecha_alta_cli
25|72|1|3876|2024-04-30|13|IVANA SANCHEZ|3|RON 700ML|1|3876|IVANA.SANCHEZ@MAIL.COM|0|2023-01-13
26|79|2|4840|2024-01-23|49|OLIVIA GOMEZ|0|HAMBURGUESAS CONGELADAS X4|1|2420|OLIVIA.GOMEZ@MAIL.COM|1|2023-02-18
26|86|1|4090|2024-01-23|49|OLIVIA GOMEZ|0|JUGO EN POLVO LIMÓN|1|4090|OLIVIA.GOMEZ@MAIL.COM|1|2023-02-18
27|7|4|13076|2024-02-25|9|YAMILA MOLINA|3|JUGO DE MANZANA 1L|1|3269|YAMILA.MOLINA@MAIL.COM|0|2023-01-09
27|78|4|17156|2024-02-25|9|YAMILA MOLINA|3|VERDURAS CONGELADAS MIX|1|4289|YAMILA.MOLINA@MAIL.COM|0|2023-01-09
28|74|1|2953|2024-05-20|52|DIEGO DIAZ|2|WHISKY 750ML|1|2953|DIEGO.DIAZ@MAIL.COM|1|2023-02-21
28|91|2|9380|2024-05-20|52|DIEGO DIAZ|2|DESODORANTE AEROSOL|0|4690|DIEGO.DIAZ@MAIL.COM|1|2023-02-21
28|72|1|3876|2024-05-20|52|DIEGO DIAZ|2|RON 700ML|1|3876|DIEGO.DIAZ@MAIL.COM|1|2023-02-21
28|18|2|6888|2024-05-20|52|DIEGO DIAZ|2|QUESO RALLADO 150G|1|3444|DIEGO.DIAZ@MAIL.COM|1|2023-02-21
28|27|5|12510|2024-05-20|52|DIEGO DIAZ|2|ALFAJOR SIMPLE|1|2502|DIEGO.DIAZ@MAIL.COM|1|2023-02-21
29|58|1|4752|2024-02-20|49|OLIVIA GOMEZ|2|CARAMELOS MASTICABLES|1|4752|OLIVIA.GOMEZ@MAIL.COM|1|2023-02-18
29|36|2|5118|2024-02-20|49|OLIVIA GOMEZ|2|DULCE DE LECHE 400G|1|2559|OLIVIA.GOMEZ@MAIL.COM|1|2023-02-18
29|71|4|2032|2024-02-20|49|OLIVIA GOMEZ|2|VODKA 700ML|1|508|OLIVIA.GOMEZ@MAIL.COM|1|2023-02-18
29|27|2|5004|2024-02-20|49|OLIVIA GOMEZ|2|ALFAJOR SIMPLE|1|2502|OLIVIA.GOMEZ@MAIL.COM|1|2023-02-18
29|66|1|1533|2024-02-20|49|OLIVIA GOMEZ|2|CERVEZA NEGRA 1L|1|1533|OLIVIA.GOMEZ@MAIL.COM|1|2023-02-18
30|49|4|10048|2024-03-03|93|GAEL ROJAS|0|HARINA DE TRIGO 1KG|1|2512|GAEL.ROJAS@MAIL.COM|3|2023-04-03
30|78|3|12867|2024-03-03|93|GAEL ROJAS|0|VERDURAS CONGELADAS MIX|1|4289|GAEL.ROJAS@MAIL.COM|3|2023-04-03
30|82|4|9576|2024-03-03|93|GAEL ROJAS|0|ACEITUNAS NEGRAS 200G|1|2394|GAEL.ROJAS@MAIL.COM|3|2023-04-03
30|7|1|3269|2024-03-03|93|GAEL ROJAS|0|JUGO DE MANZANA 1L|1|3269|GAEL.ROJAS@MAIL.COM|3|2023-04-03
31|92|4|10048|2024-05-22|19|UMA SILVA|1|CREMA DENTAL 90G|0|2512|UMA.SILVA@MAIL.COM|2|2023-01-19
31|90|3|8706|2024-05-22|19|UMA SILVA|1|TOALLAS HÚMEDAS X50|0|2902|UMA.SILVA@MAIL.COM|2|2023-01-19
31|84|5|8225|2024-05-22|19|UMA SILVA|1|QUESO AZUL 150G|1|1645|UMA.SILVA@MAIL.COM|2|2023-01-19
32|72|5|19380|2024-01-30|31|FELIPE RUIZ|0|RON 700ML|1|3876|FELIPE.RUIZ@MAIL.COM|4|2023-01-31
32|53|4|6656|2024-01-30|31|FELIPE RUIZ|0|LAVANDINA 1L|0|1664|FELIPE.RUIZ@MAIL.COM|4|2023-01-31
32|17|3|14502|2024-01-30|31|FELIPE RUIZ|0|QUESO CREMOSO 500G|1|4834|FELIPE.RUIZ@MAIL.COM|4|2023-01-31
32|35|3|13290|2024-01-30|31|FELIPE RUIZ|0|BARRITA DE CEREAL 30G|1|4430|FELIPE.RUIZ@MAIL.COM|4|2023-01-31
33|47|2|5878|2024-02-13|6|UMA MEDINA|0|GARBANZOS 500G|1|2939|UMA.MEDINA@MAIL.COM|4|2023-01-06
33|76|4|17144|2024-02-13|6|UMA MEDINA|0|PIZZA CONGELADA MUZZARELLA|1|4286|UMA.MEDINA@MAIL.COM|4|2023-01-06
33|100|1|4854|2024-02-13|6|UMA MEDINA|0|TRAPO DE PISO|0|4854|UMA.MEDINA@MAIL.COM|4|2023-01-06
33|91|2|9380|2024-02-13|6|UMA MEDINA|0|DESODORANTE AEROSOL|0|4690|UMA.MEDINA@MAIL.COM|4|2023-01-06
34|10|1|4883|2024-01-13|58|KARINA ACOSTA|3|YERBA MATE INTENSA 1KG|1|4883|KARINA.ACOSTA2@MAIL.COM|1|2023-02-27
34|32|5|11170|2024-01-13|58|KARINA ACOSTA|3|CHOCOLATE AMARGO 100G|1|2234|KARINA.ACOSTA2@MAIL.COM|1|2023-02-27
35|93|3|6426|2024-05-30|61|GUADALUPE MARTINEZ|0|CEPILLO DE DIENTES|0|2142|GUADALUPE.MARTINEZ@MAIL.COM|1|2023-03-02
35|80|2|3962|2024-05-30|61|GUADALUPE MARTINEZ|0|HELADO DE FRUTILLA 1L|1|1981|GUADALUPE.MARTINEZ@MAIL.COM|1|2023-03-02
35|88|5|12850|2024-05-30|61|GUADALUPE MARTINEZ|0|CALDO CONCENTRADO CARNE|1|2570|GUADALUPE.MARTINEZ@MAIL.COM|1|2023-03-02
36|50|4|2908|2024-06-25|5|AGUSTINA FLORES|1|AZÚCAR 1KG|1|727|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
36|48|2|8924|2024-06-25|5|AGUSTINA FLORES|1|POROTOS NEGROS 500G|1|4462|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
37|18|3|10332|2024-05-17|57|JULIAN ACOSTA|2|QUESO RALLADO 150G|1|3444|JULIAN.ACOSTA@MAIL.COM|1|2023-02-26
38|62|5|19240|2024-05-29|56|BRUNO DIAZ|1|STEVIA 100 SOBRES|1|3848|BRUNO.DIAZ@MAIL.COM|1|2023-02-25
38|14|3|5169|2024-05-29|56|BRUNO DIAZ|1|LECHE ENTERA 1L|1|1723|BRUNO.DIAZ@MAIL.COM|1|2023-02-25
38|65|5|12115|2024-05-29|56|BRUNO DIAZ|1|CERVEZA RUBIA 1L|1|2423|BRUNO.DIAZ@MAIL.COM|1|2023-02-25
38|5|3|14331|2024-05-29|56|BRUNO DIAZ|1|AGUA MINERAL 500ML|1|4777|BRUNO.DIAZ@MAIL.COM|1|2023-02-25
39|44|4|11916|2024-03-05|5|AGUSTINA FLORES|0|ARROZ LARGO FINO 1KG|1|2979|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
39|22|2|4138|2024-03-05|5|AGUSTINA FLORES|0|MEDIALUNAS DE MANTECA|1|2069|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
39|58|4|19008|2024-03-05|5|AGUSTINA FLORES|0|CARAMELOS MASTICABLES|1|4752|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
39|81|4|10080|2024-03-05|5|AGUSTINA FLORES|0|ACEITUNAS VERDES 200G|1|2520|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
40|44|2|5958|2024-05-13|15|TOMAS RUIZ|0|ARROZ LARGO FINO 1KG|1|2979|TOMAS.RUIZ@MAIL.COM|5|2023-01-15
41|51|1|1745|2024-03-08|29|DIEGO FERNANDEZ|1|SAL FINA 500G|1|1745|DIEGO.FERNANDEZ@MAIL.COM|3|2023-01-29
41|15|1|2538|2024-03-08|29|DIEGO FERNANDEZ|1|LECHE DESCREMADA 1L|1|2538|DIEGO.FERNANDEZ@MAIL.COM|3|2023-01-29
42|47|3|8817|2024-04-18|12|GAEL GOMEZ|1|GARBANZOS 500G|1|2939|GAEL.GOMEZ@MAIL.COM|3|2023-01-12
42|29|1|1868|2024-04-18|12|GAEL GOMEZ|1|PAPAS FRITAS ONDULADAS 100G|1|1868|GAEL.GOMEZ@MAIL.COM|3|2023-01-12
42|73|3|4683|2024-04-18|12|GAEL GOMEZ|1|GIN 700ML|1|1561|GAEL.GOMEZ@MAIL.COM|3|2023-01-12
43|1|5|11735|2024-02-18|23|HELENA FERNANDEZ|0|COCA COLA 1.5L|1|2347|HELENA.FERNANDEZ@MAIL.COM|1|2023-01-23
43|49|2|5024|2024-02-18|23|HELENA FERNANDEZ|0|HARINA DE TRIGO 1KG|1|2512|HELENA.FERNANDEZ@MAIL.COM|1|2023-01-23
43|66|2|3066|2024-02-18|23|HELENA FERNANDEZ|0|CERVEZA NEGRA 1L|1|1533|HELENA.FERNANDEZ@MAIL.COM|1|2023-01-23
44|48|1|4462|2024-02-21|21|ELENA RODRIGUEZ|0|POROTOS NEGROS 500G|1|4462|ELENA.RODRIGUEZ@MAIL.COM|3|2023-01-21
44|47|2|5878|2024-02-21|21|ELENA RODRIGUEZ|0|GARBANZOS 500G|1|2939|ELENA.RODRIGUEZ@MAIL.COM|3|2023-01-21
44|100|2|9708|2024-02-21|21|ELENA RODRIGUEZ|0|TRAPO DE PISO|0|4854|ELENA.RODRIGUEZ@MAIL.COM|3|2023-01-21
45|12|2|1140|2024-01-19|15|TOMAS RUIZ|0|TÉ NEGRO 20 SAQUITOS|1|570|TOMAS.RUIZ@MAIL.COM|5|2023-01-15
45|18|2|6888|2024-01-19|15|TOMAS RUIZ|0|QUESO RALLADO 150G|1|3444|TOMAS.RUIZ@MAIL.COM|5|2023-01-15
45|87|4|6716|2024-01-19|15|TOMAS RUIZ|0|SOPA INSTANTÁNEA POLLO|1|1679|TOMAS.RUIZ@MAIL.COM|5|2023-01-15
45|98|1|2843|2024-01-19|15|TOMAS RUIZ|0|DESENGRASANTE 500ML|0|2843|TOMAS.RUIZ@MAIL.COM|5|2023-01-15
45|52|2|5164|2024-01-19|15|TOMAS RUIZ|0|DETERGENTE LÍQUIDO 750ML|0|2582|TOMAS.RUIZ@MAIL.COM|5|2023-01-15
46|21|1|272|2024-03-25|46|AGUSTINA MARTINEZ|1|PAN LACTAL INTEGRAL|1|272|AGUSTINA.MARTINEZ@MAIL.COM|3|2023-02-15
47|43|5|4435|2024-05-04|52|DIEGO DIAZ|3|SALSA DE TOMATE 500G|1|887|DIEGO.DIAZ@MAIL.COM|1|2023-02-21
47|6|3|12510|2024-05-04|52|DIEGO DIAZ|3|JUGO DE NARANJA 1L|1|4170|DIEGO.DIAZ@MAIL.COM|1|2023-02-21
48|70|1|4061|2024-01-26|84|PABLO SANCHEZ|2|FERNET 750ML|1|4061|PABLO.SANCHEZ@MAIL.COM|5|2023-03-25
48|54|5|7960|2024-01-26|84|PABLO SANCHEZ|2|JABÓN DE TOCADOR|0|1592|PABLO.SANCHEZ@MAIL.COM|5|2023-03-25
48|57|4|18080|2024-01-26|84|PABLO SANCHEZ|2|SERVILLETAS X100|0|4520|PABLO.SANCHEZ@MAIL.COM|5|2023-03-25
49|59|2|7224|2024-06-02|5|AGUSTINA FLORES|0|CHICLE MENTA|1|3612|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
49|21|4|1088|2024-06-02|5|AGUSTINA FLORES|0|PAN LACTAL INTEGRAL|1|272|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
49|59|4|14448|2024-06-02|5|AGUSTINA FLORES|0|CHICLE MENTA|1|3612|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
49|18|3|10332|2024-06-02|5|AGUSTINA FLORES|0|QUESO RALLADO 150G|1|3444|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
49|85|3|5568|2024-06-02|5|AGUSTINA FLORES|0|JUGO EN POLVO NARANJA|1|1856|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
50|10|2|9766|2024-01-09|8|BRUNO CASTRO|3|YERBA MATE INTENSA 1KG|1|4883|BRUNO.CASTRO@MAIL.COM|0|2023-01-08
50|34|5|2515|2024-01-09|8|BRUNO CASTRO|3|TURRÓN 50G|1|503|BRUNO.CASTRO@MAIL.COM|0|2023-01-08
50|58|5|23760|2024-01-09|8|BRUNO CASTRO|3|CARAMELOS MASTICABLES|1|4752|BRUNO.CASTRO@MAIL.COM|0|2023-01-08
50|32|3|6702|2024-01-09|8|BRUNO CASTRO|3|CHOCOLATE AMARGO 100G|1|2234|BRUNO.CASTRO@MAIL.COM|0|2023-01-08
50|91|4|18760|2024-01-09|8|BRUNO CASTRO|3|DESODORANTE AEROSOL|0|4690|BRUNO.CASTRO@MAIL.COM|0|2023-01-08
51|31|1|3409|2024-02-18|39|SANTIAGO DIAZ|0|MIX DE FRUTOS SECOS 200G|1|3409|SANTIAGO.DIAZ@MAIL.COM|3|2023-02-08
52|83|2|3660|2024-05-10|5|AGUSTINA FLORES|1|QUESO UNTABLE 190G|1|1830|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
52|9|4|15512|2024-05-10|5|AGUSTINA FLORES|1|YERBA MATE SUAVE 1KG|1|3878|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
52|81|5|12600|2024-05-10|5|AGUSTINA FLORES|1|ACEITUNAS VERDES 200G|1|2520|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
52|38|3|4752|2024-05-10|5|AGUSTINA FLORES|1|MERMELADA DE FRUTILLA 400G|1|1584|AGUSTINA.FLORES@MAIL.COM|5|2023-01-05
53|28|1|936|2024-01-25|56|BRUNO DIAZ|1|PAPAS FRITAS CLÁSICAS 100G|1|936|BRUNO.DIAZ@MAIL.COM|1|2023-02-25
54|65|1|2423|2024-03-26|1|MARIANA LOPEZ|1|CERVEZA RUBIA 1L|1|2423|MARIANA.LOPEZ@MAIL.COM|0|2023-01-01
54|18|2|6888|2024-03-26|1|MARIANA LOPEZ|1|QUESO RALLADO 150G|1|3444|MARIANA.LOPEZ@MAIL.COM|0|2023-01-01
54|91|3|14070|2024-03-26|1|MARIANA LOPEZ|1|DESODORANTE AEROSOL|0|4690|MARIANA.LOPEZ@MAIL.COM|0|2023-01-01
54|8|3|12654|2024-03-26|1|MARIANA LOPEZ|1|ENERGÉTICA NITRO 500ML|1|4218|MARIANA.LOPEZ@MAIL.COM|0|2023-01-01
55|39|4|1876|2024-01-04|100|AGUSTINA LOPEZ|2|HELADO VAINILLA 1L|1|469|AGUSTINA.LOPEZ@MAIL.COM|5|2023-04-10
56|18|5|17220|2024-06-14|15|TOMAS RUIZ|2|QUESO RALLADO 150G|1|3444|TOMAS.RUIZ@MAIL.COM|5|2023-01-15
57|31|3|10227|2024-01-10|34|BRUNO CASTRO|0|MIX DE FRUTOS SECOS 200G|1|3409|BRUNO.CASTRO2@MAIL.COM|4|2023-02-03
57|41|4|3440|2024-01-10|34|BRUNO CASTRO|0|ACEITE DE GIRASOL 1L|1|860|BRUNO.CASTRO2@MAIL.COM|4|2023-02-03
57|9|5|19390|2024-01-10|34|BRUNO CASTRO|0|YERBA MATE SUAVE 1KG|1|3878|BRUNO.CASTRO2@MAIL.COM|4|2023-02-03
57|76|3|12858|2024-01-10|34|BRUNO CASTRO|0|PIZZA CONGELADA MUZZARELLA|1|4286|BRUNO.CASTRO2@MAIL.COM|4|2023-02-03
57|98|4|11372|2024-01-10|34|BRUNO CASTRO|0|DESENGRASANTE 500ML|0|2843|BRUNO.CASTRO2@MAIL.COM|4|2023-02-03
58|43|2|1774|2024-02-04|48|ROCIO ALVAREZ|3|SALSA DE TOMATE 500G|1|887|ROCIO.ALVAREZ@MAIL.COM|5|2023-02-17
58|11|1|2053|2024-02-04|48|ROCIO ALVAREZ|3|CAFÉ MOLIDO 250G|1|2053|ROCIO.ALVAREZ@MAIL.COM|5|2023-02-17
59|31|1|3409|2024-04-28|62|GUADALUPE ROMERO|1|MIX DE FRUTOS SECOS 200G|1|3409|GUADALUPE.ROMERO@MAIL.COM|0|2023-03-03
59|8|2|8436|2024-04-28|62|GUADALUPE ROMERO|1|ENERGÉTICA NITRO 500ML|1|4218|GUADALUPE.ROMERO@MAIL.COM|0|2023-03-03
59|97|5|4360|2024-04-28|62|GUADALUPE ROMERO|1|LIMPIAVIDRIOS 500ML|0|872|GUADALUPE.ROMERO@MAIL.COM|0|2023-03-03
60|43|1|887|2024-04-04|81|CAMILA RUIZ|3|SALSA DE TOMATE 500G|1|887|CAMILA.RUIZ@MAIL.COM|0|2023-03-22
60|98|3|8529|2024-04-04|81|CAMILA RUIZ|3|DESENGRASANTE 500ML|0|2843|CAMILA.RUIZ@MAIL.COM|0|2023-03-22
60|15|1|2538|2024-04-04|81|CAMILA RUIZ|3|LECHE DESCREMADA 1L|1|2538|CAMILA.RUIZ@MAIL.COM|0|2023-03-22
60|21|2|544|2024-04-04|81|CAMILA RUIZ|3|PAN LACTAL INTEGRAL|1|272|CAMILA.RUIZ@MAIL.COM|0|2023-03-22
